age,gender,contract_type,payment_method,tenure_months,monthly_charges,total_charges,avg_call_minutes,num_support_tickets,has_international_plan,region,Churn
33,F,Month-to-month,Electronic check,62,27.09,1128.76,164.4,2,No,West,1
23,F,Month-to-month,Bank transfer,27,67.78,1840.88,259.5,2,No,South,1
19,M,Two year,Mailed check,49,23.48,1389.65,157.9,0,No,South,0
68,F,Month-to-month,Electronic check,50,72.14,3731.05,140.4,0,No,North,0
54,F,One year,Electronic check,59,57.38,3465.63,235.6,1,No,Central,0
30,M,Two year,Mailed check,15,65.32,773.41,154.4,1,Yes,West,0
25,M,One year,Credit card,40,59.73,2362.21,191.3,0,No,North,0
79,M,Month-to-month,Bank transfer,14,52.75,581.3,223.9,0,No,South,0
71,M,Month-to-month,Electronic check,40,71.5,2848.33,246.6,1,Yes,Central,0
30,M,Month-to-month,Bank transfer,18,74.12,1198.53,333.1,1,No,West,0
71,M,Month-to-month,Credit card,50,37.71,1989.35,216.7,1,No,South,0
34,M,Two year,Bank transfer,23,88.25,1901.62,322.6,1,No,West,0
43,F,Month-to-month,Electronic check,32,91.43,2784.96,199.2,1,No,East,0
29,M,Month-to-month,Bank transfer,39,26.37,1116.1,279.8,0,No,Central,0
54,F,Month-to-month,Electronic check,39,74.54,2804.82,341.3,2,No,Central,1
51,F,One year,Electronic check,60,58.91,3759.09,153.4,1,No,Central,0
53,M,Two year,Credit card,66,78.34,5207.19,184.2,0,No,North,0
61,M,One year,Mailed check,56,64.46,3721.77,438.7,0,No,West,0
44,F,One year,Electronic check,48,36.27,1818.32,325.5,1,No,North,0
40,F,Month-to-month,Mailed check,34,39.65,1328.05,116.2,1,No,North,0
42,F,Month-to-month,Electronic check,32,57.37,1821.59,284.4,1,No,North,0
55,M,Month-to-month,Bank transfer,30,12.27,474.09,263.7,1,No,North,0
34,F,Month-to-month,Electronic check,7,53.8,287.73,330.6,2,No,East,0
38,F,Month-to-month,Credit card,33,64.47,2038.52,325.0,1,No,North,0
69,M,Month-to-month,Electronic check,32,33.63,1197.22,268.1,0,No,East,0
21,M,Month-to-month,Electronic check,55,66.18,3507.45,156.3,2,No,East,1
69,M,Two year,Mailed check,28,65.83,1796.71,270.5,0,Yes,East,0
67,M,One year,Electronic check,30,62.31,1825.71,197.1,1,No,Central,0
53,M,Month-to-month,Credit card,69,45.19,3241.32,194.4,0,No,West,0
32,F,Month-to-month,Credit card,61,32.04,2156.21,178.4,0,No,South,0
66,M,One year,Electronic check,21,107.26,2025.72,279.3,0,Yes,South,0
62,F,Month-to-month,Bank transfer,18,68.24,1051.37,240.2,0,Yes,West,0
27,F,Two year,Electronic check,58,67.1,4026.69,381.9,1,No,North,0
39,M,Month-to-month,Electronic check,23,80.8,2149.77,365.0,1,No,South,1
36,M,Month-to-month,Electronic check,39,56.92,2243.35,207.9,2,No,South,0
82,F,Month-to-month,Electronic check,40,64.78,2542.13,184.2,1,No,North,0
38,F,Month-to-month,Bank transfer,60,54.38,3372.81,186.0,0,Yes,North,0
69,F,Month-to-month,Electronic check,10,83.59,1139.34,361.9,2,No,North,1
38,F,Month-to-month,Electronic check,31,60.25,2026.11,197.9,3,No,West,1
77,M,One year,Mailed check,41,45.66,1932.83,323.7,0,No,West,0
54,M,Month-to-month,Bank transfer,26,110.54,2556.94,166.6,1,Yes,Central,0
48,M,Month-to-month,Electronic check,45,71.16,3285.68,238.3,1,No,South,0
20,M,Month-to-month,Electronic check,47,84.03,3930.47,464.2,1,No,East,0
19,M,One year,Electronic check,13,40.98,462.3,279.5,0,No,South,0
70,M,Month-to-month,Bank transfer,62,87.32,5399.84,215.8,1,No,Central,0
24,M,Month-to-month,Mailed check,16,85.22,1135.15,230.1,1,No,East,0
42,M,One year,Electronic check,59,36.71,2283.89,237.1,1,No,Central,0
53,M,Month-to-month,Mailed check,74,69.99,5345.97,197.5,0,Yes,Central,0
40,M,Month-to-month,Credit card,8,15.87,-11.92,245.7,1,No,South,0
53,M,Month-to-month,Credit card,46,56.18,2657.25,169.3,2,No,East,0
19,M,Month-to-month,Mailed check,37,54.87,2006.45,347.8,1,No,East,0
32,M,Month-to-month,Mailed check,40,87.82,3494.61,299.3,0,No,East,0
25,F,One year,Electronic check,50,92.91,4620.19,257.4,0,Yes,West,0
31,F,Month-to-month,Electronic check,39,112.28,4235.88,347.3,3,No,North,0
44,F,Month-to-month,Electronic check,41,25.93,1128.72,216.0,0,No,North,0
46,M,Month-to-month,Electronic check,48,92.45,4462.75,184.2,2,No,North,1
83,F,Two year,Electronic check,18,104.08,2294.92,259.0,1,No,South,1
74,M,Two year,Electronic check,0,40.96,36.28,340.2,1,No,South,1
42,F,Month-to-month,Bank transfer,29,50.98,1462.88,133.2,2,No,South,0
54,F,Month-to-month,Mailed check,55,69.47,3923.48,225.9,1,No,East,0
51,M,Month-to-month,Electronic check,44,70.22,3144.05,361.2,0,No,West,0
74,M,Month-to-month,Electronic check,14,75.37,1362.64,210.6,3,No,West,1
79,F,Month-to-month,Credit card,57,56.39,3304.99,238.6,0,Yes,Central,0
40,F,One year,Electronic check,39,63.52,2372.24,340.3,1,No,North,0
73,F,Month-to-month,Electronic check,41,64.66,2725.52,236.7,2,No,North,0
54,F,Month-to-month,Credit card,49,11.69,765.23,261.4,0,Yes,South,0
55,F,Month-to-month,Credit card,16,89.17,1752.54,149.6,1,No,South,1
36,F,Month-to-month,Bank transfer,72,57.78,4368.15,168.3,4,No,Central,0
43,M,One year,Credit card,8,14.59,74.97,121.3,0,No,West,0
59,F,One year,Bank transfer,46,78.41,3585.37,302.9,1,No,Central,0
67,F,Two year,Electronic check,41,48.43,2032.46,201.9,0,No,Central,0
43,F,Month-to-month,Electronic check,34,65.41,2264.3,343.3,3,No,South,1
66,F,Month-to-month,Credit card,12,5.0,64.15,173.8,0,No,West,0
45,F,One year,Electronic check,27,75.38,1854.81,263.6,0,No,East,0
40,F,One year,Mailed check,28,19.11,681.78,271.8,0,No,North,0
28,M,One year,Electronic check,46,9.79,637.18,226.8,0,No,Central,0
67,F,Two year,Credit card,12,87.87,876.72,181.4,1,Yes,Central,0
44,M,Month-to-month,Credit card,52,92.56,4785.95,212.9,2,No,North,0
49,M,Month-to-month,Electronic check,3,100.57,822.98,72.7,4,No,West,1
79,F,Month-to-month,Electronic check,15,53.09,585.93,264.7,1,No,North,0
38,M,Month-to-month,Mailed check,35,56.81,2019.71,397.3,2,No,East,0
47,M,Two year,Bank transfer,51,62.74,3321.46,147.7,0,No,South,0
61,M,Month-to-month,Electronic check,69,77.88,5475.88,345.9,2,No,East,0
20,F,One year,Electronic check,63,82.48,5197.53,490.4,2,No,North,0
30,F,Two year,Bank transfer,46,57.39,2657.29,245.4,0,No,East,0
48,M,Month-to-month,Credit card,55,73.55,4062.54,338.2,1,No,East,0
51,F,Two year,Electronic check,36,108.3,3695.84,256.7,0,No,West,0
55,F,Month-to-month,Electronic check,68,50.77,3658.04,273.0,0,No,East,0
30,M,Month-to-month,Mailed check,18,83.06,1369.77,262.1,0,No,Central,0
78,F,One year,Mailed check,53,56.45,3077.22,309.6,0,No,North,0
23,M,Month-to-month,Credit card,42,47.63,2066.33,195.6,1,No,West,0
72,M,Two year,Electronic check,41,47.87,1923.7,269.8,0,No,South,0
51,F,Month-to-month,Mailed check,13,121.54,1268.65,168.6,1,No,East,0
57,M,Two year,Electronic check,56,58.14,3336.51,179.1,0,No,Central,0
78,M,Two year,Mailed check,50,70.46,3568.73,301.9,1,Yes,West,0
63,M,Month-to-month,Credit card,40,83.86,3354.45,148.1,0,Yes,North,0
31,M,Month-to-month,Bank transfer,49,60.92,3052.9,210.1,1,Yes,South,0
43,M,Month-to-month,Mailed check,60,39.85,2520.39,311.0,2,No,North,0
63,M,Month-to-month,Electronic check,39,50.56,2149.53,280.9,1,No,East,0
55,F,One year,Electronic check,38,25.25,1089.28,294.7,0,No,Central,0
44,M,Month-to-month,Credit card,0,98.18,529.77,205.3,2,No,East,1
42,M,Month-to-month,Electronic check,21,91.29,1754.51,242.2,2,No,West,0
26,F,Month-to-month,Credit card,9,35.32,311.3,427.7,1,No,Central,0
49,F,Month-to-month,Electronic check,36,39.27,1496.87,283.8,2,No,West,0
59,F,Month-to-month,Mailed check,67,46.62,3306.11,279.5,2,Yes,East,0
47,F,Month-to-month,Electronic check,44,50.42,2288.1,327.3,3,Yes,East,0
77,F,Month-to-month,Mailed check,20,118.26,2074.08,367.3,3,Yes,South,0
78,M,Month-to-month,Mailed check,71,27.68,2275.43,323.5,0,No,West,0
52,F,Month-to-month,Credit card,0,113.7,565.3,313.2,1,No,West,1
37,F,One year,Electronic check,69,86.39,6017.14,108.8,3,No,South,0
50,F,One year,Bank transfer,39,30.78,1292.55,407.5,0,No,West,0
68,M,Two year,Electronic check,25,28.58,766.81,194.6,0,No,East,0
58,F,Month-to-month,Mailed check,38,77.75,2917.55,214.2,0,Yes,South,0
47,F,Month-to-month,Credit card,31,89.95,2965.45,128.7,1,No,East,1
35,F,One year,Bank transfer,6,103.76,286.14,177.8,1,No,Central,0
78,F,Month-to-month,Bank transfer,60,79.18,4889.88,299.3,1,No,East,0
26,M,One year,Mailed check,30,39.58,1167.21,211.1,0,No,Central,0
75,M,Month-to-month,Electronic check,69,29.01,2239.68,238.3,1,Yes,North,0
53,F,One year,Credit card,37,64.01,2417.04,327.9,1,No,West,0
52,M,Month-to-month,Credit card,40,49.42,1998.09,295.4,0,No,West,0
23,F,Month-to-month,Electronic check,64,119.71,7682.7,223.2,0,No,East,0
31,M,One year,Electronic check,10,80.28,1049.01,250.9,1,No,Central,1
79,F,Month-to-month,Electronic check,67,32.79,2456.88,270.2,1,No,South,0
80,F,Month-to-month,Electronic check,49,78.38,3841.81,343.3,0,No,North,0
84,M,Month-to-month,Electronic check,27,91.25,2700.49,218.0,3,No,Central,1
39,M,One year,Electronic check,61,70.33,4342.9,112.5,2,No,West,0
21,M,One year,Electronic check,40,92.29,3760.39,119.3,1,No,West,1
36,M,Month-to-month,Bank transfer,7,81.07,411.98,309.3,1,No,Central,0
70,M,One year,Electronic check,63,57.96,3786.63,283.9,1,Yes,South,0
65,F,Two year,Bank transfer,44,69.85,3081.23,259.4,0,No,South,0
68,M,Two year,Bank transfer,73,10.44,1024.36,292.0,1,No,West,0
45,M,One year,Bank transfer,45,50.32,2395.83,293.7,0,No,West,0
31,M,One year,Electronic check,9,91.03,611.71,195.4,0,No,East,0
61,M,One year,Electronic check,3,20.0,108.27,299.7,2,No,South,1
34,M,One year,Electronic check,29,60.540000000000006,1695.38,203.0,1,No,South,0
58,F,One year,Electronic check,34,62.84,2096.11,285.7,1,No,West,0
82,M,One year,Mailed check,68,51.68,3608.56,214.7,0,No,West,0
22,M,One year,Credit card,15,52.01,666.16,328.7,0,No,North,0
57,M,Two year,Electronic check,6,78.19,294.81,290.3,1,No,East,0
76,F,One year,Mailed check,3,66.36,-60.76,268.6,0,No,Central,0
18,F,Month-to-month,Electronic check,36,75.94,2649.03,194.7,1,No,West,0
31,M,One year,Electronic check,0,85.92,174.17,161.6,3,No,South,1
48,F,One year,Credit card,56,36.68,2180.46,366.2,1,Yes,South,0
70,F,One year,Mailed check,45,56.99,2570.11,171.7,0,No,South,0
58,F,Month-to-month,Electronic check,48,84.96,4050.83,298.7,2,No,West,0
30,F,Month-to-month,Electronic check,25,77.9,1768.63,261.8,2,No,Central,0
71,F,Month-to-month,Bank transfer,44,100.67,4305.32,306.2,0,No,East,0
48,F,One year,Mailed check,57,50.59,2529.4,312.4,1,No,West,1
63,F,Two year,Electronic check,70,80.95,5810.03,154.5,0,No,West,0
64,M,Two year,Credit card,67,46.56,3331.7,199.1,1,No,East,0
78,M,Month-to-month,Credit card,49,51.09,2604.29,315.2,2,No,East,0
74,M,Month-to-month,Electronic check,72,58.19,4437.45,336.0,1,Yes,West,0
74,F,Two year,Bank transfer,40,69.65,2701.12,203.3,0,No,West,0
34,F,Month-to-month,Mailed check,14,96.37,1108.65,316.4,2,No,Central,0
30,M,Month-to-month,Electronic check,51,63.49,3252.29,228.9,2,Yes,South,0
35,M,Month-to-month,Electronic check,37,49.09,1807.51,232.7,2,No,South,0
50,F,Month-to-month,Electronic check,71,43.81,3327.45,243.0,2,No,South,0
35,F,One year,Credit card,67,111.76,7381.35,260.2,0,Yes,South,0
43,M,One year,Electronic check,0,73.8,199.49,128.3,2,No,South,1
69,M,Month-to-month,Credit card,17,100.33,2106.42,326.4,2,No,West,1
26,M,Two year,Electronic check,48,70.94,3486.99,239.4,1,No,North,0
64,F,Month-to-month,Electronic check,52,104.98,5351.77,56.8,1,Yes,South,0
39,F,Month-to-month,Mailed check,56,67.86,3853.64,210.1,0,No,East,0
59,M,Two year,Bank transfer,47,47.79,2278.36,164.5,0,No,Central,0
83,M,One year,Bank transfer,37,76.83,2768.37,199.5,1,No,Central,0
26,M,Month-to-month,Electronic check,6,61.74,565.62,280.6,4,No,South,1
23,M,Month-to-month,Credit card,29,53.33,1564.86,359.2,2,Yes,North,1
78,M,Two year,Bank transfer,21,61.19,1140.22,445.8,0,No,North,0
75,M,Month-to-month,Electronic check,64,57.02,3726.81,385.6,3,No,West,0
65,M,Month-to-month,Mailed check,54,45.45,2601.78,332.2,0,No,West,0
66,F,Month-to-month,Electronic check,26,60.13,1495.71,194.1,1,No,East,0
83,M,Month-to-month,Electronic check,73,24.7,2018.5,384.1,2,No,North,0
65,F,Month-to-month,Mailed check,34,75.81,2439.12,141.2,1,No,North,0
32,M,Month-to-month,Electronic check,40,82.63,3199.59,221.1,1,No,North,0
82,F,Month-to-month,Electronic check,32,50.55,1713.38,341.4,0,No,North,0
80,F,One year,Electronic check,19,66.5,1397.3,150.6,2,No,North,1
51,M,Month-to-month,Bank transfer,4,99.49,901.4,256.5,1,Yes,East,1
23,M,Month-to-month,Mailed check,56,25.94,1650.87,262.7,1,No,East,0
83,M,Month-to-month,Bank transfer,26,56.57,1396.36,174.7,0,No,North,0
37,F,One year,Electronic check,31,104.32,3022.47,253.2,1,No,East,0
33,M,One year,Mailed check,73,54.13,4095.56,113.9,0,No,South,0
69,F,One year,Credit card,34,49.43,1677.77,328.8,1,No,South,0
49,M,Month-to-month,Electronic check,6,66.01,147.18,412.0,0,No,West,0
75,F,Month-to-month,Electronic check,46,83.69,3817.68,303.4,1,No,Central,0
44,M,Two year,Bank transfer,59,70.99000000000001,3949.76,289.5,1,No,East,1
49,M,One year,Bank transfer,45,65.05,2965.9,447.9,0,No,East,0
54,F,Month-to-month,Credit card,62,85.49,5233.95,157.1,1,No,North,0
36,M,Month-to-month,Credit card,0,85.96,90.99,184.5,1,No,South,1
72,F,Month-to-month,Electronic check,72,86.98,6391.03,270.9,2,No,Central,0
38,F,One year,Electronic check,47,86.91,4128.87,183.1,0,No,West,0
50,F,Two year,Electronic check,44,25.56,1356.55,304.3,0,No,South,0
56,M,Month-to-month,Credit card,64,45.03,3071.6,153.0,2,No,East,0
29,F,Month-to-month,Electronic check,26,104.87,3024.39,289.4,4,No,South,1
34,F,One year,Electronic check,51,78.99,4087.49,326.3,1,No,West,0
47,F,One year,Credit card,34,66.79,2288.85,109.3,1,Yes,North,0
61,M,Month-to-month,Electronic check,32,49.01,1541.26,243.0,0,No,West,0
81,M,Month-to-month,Bank transfer,43,74.35,3196.81,178.6,0,No,West,0
75,F,One year,Bank transfer,50,76.4,3784.82,332.8,0,No,South,0
74,M,Month-to-month,Bank transfer,42,85.74,3496.23,296.5,1,No,Central,0
83,F,One year,Electronic check,27,73.34,1935.99,153.1,1,No,North,0
79,F,Month-to-month,Electronic check,3,20.0,35.81,248.8,1,No,North,1
84,F,Month-to-month,Electronic check,62,68.21,4322.81,270.3,1,No,North,0
33,F,Month-to-month,Bank transfer,27,63.760000000000005,1630.29,281.1,1,Yes,Central,0
56,M,Month-to-month,Electronic check,71,47.77,3518.02,209.5,0,No,West,0
53,F,One year,Electronic check,47,69.74,3255.2,309.8,0,No,West,0
18,M,Month-to-month,Electronic check,0,78.34,357.3,235.6,2,Yes,North,1
60,M,Month-to-month,Bank transfer,13,68.26,717.32,373.6,0,Yes,West,0
31,F,One year,Mailed check,64,32.78,2302.88,237.1,2,No,West,0
70,M,Month-to-month,Electronic check,13,73.29,739.18,235.9,1,No,Central,0
80,M,One year,Mailed check,39,45.14,1807.8,360.3,1,No,North,0
41,M,Month-to-month,Electronic check,40,19.16,913.98,337.4,2,Yes,North,0
50,F,One year,Credit card,25,65.92,1677.95,267.1,1,No,North,1
64,M,One year,Bank transfer,67,97.76,6583.74,342.1,0,No,South,0
71,M,Two year,Electronic check,61,104.38,6381.07,300.6,0,Yes,East,0
43,M,Month-to-month,Electronic check,42,88.93,3643.26,310.7,1,No,East,0
76,M,One year,Electronic check,40,95.95,3730.52,302.5,1,No,West,0
58,M,One year,Bank transfer,27,37.32,978.37,390.7,0,No,Central,0
78,F,Month-to-month,Electronic check,0,57.21,114.64,368.6,2,No,Central,1
64,F,Month-to-month,Credit card,40,39.63,1726.6,354.6,0,No,West,0
38,F,Two year,Electronic check,48,97.88,4652.41,311.1,2,No,West,0
35,M,Month-to-month,Electronic check,19,54.68,797.61,358.8,3,No,North,0
61,F,Month-to-month,Mailed check,73,61.58,4704.61,341.4,0,No,North,0
62,F,Month-to-month,Mailed check,16,85.15,1577.88,200.5,1,No,West,1
62,F,One year,Bank transfer,14,93.97,1014.78,215.5,0,No,East,0
54,F,One year,Mailed check,40,71.97,2895.88,276.1,1,No,Central,0
82,F,Two year,Electronic check,17,100.3,1474.2,192.5,0,No,North,0
48,F,Month-to-month,Bank transfer,35,72.76,2489.46,485.3,0,Yes,Central,0
38,M,Month-to-month,Electronic check,11,121.23,1027.18,356.6,2,No,Central,0
28,M,One year,Electronic check,0,48.86,-67.21,292.2,1,No,Central,1
22,F,Month-to-month,Mailed check,36,47.12,1676.67,209.9,1,No,North,0
31,F,One year,Credit card,50,83.84,4218.66,340.5,0,No,Central,0
81,F,Two year,Mailed check,27,86.14,2266.27,300.8,0,No,South,0
41,F,One year,Bank transfer,63,52.48,3446.15,260.0,0,No,South,0
37,F,Two year,Electronic check,68,22.42,1712.4,222.0,0,No,Central,0
35,F,Month-to-month,Electronic check,25,62.31,1512.15,319.1,1,No,East,0
72,M,Month-to-month,Electronic check,43,41.54,1819.74,229.0,0,No,Central,0
39,M,Month-to-month,Electronic check,57,86.14,4952.53,197.0,1,No,West,0
70,M,One year,Electronic check,9,78.75,1050.55,142.5,1,No,West,1
34,M,Month-to-month,Credit card,23,49.88,1178.49,269.2,2,No,South,1
76,F,One year,Credit card,60,28.03,1929.25,312.2,0,No,North,0
74,F,One year,Electronic check,9,40.41,321.69,248.3,0,No,West,0
40,F,Month-to-month,Electronic check,9,33.68,193.29,229.9,1,No,East,0
26,F,Month-to-month,Electronic check,57,40.67,1828.43,249.5,3,Yes,East,1
72,M,Month-to-month,Mailed check,67,95.4,6443.71,321.0,0,No,East,0
63,M,Month-to-month,Credit card,70,49.54,3638.43,201.6,1,No,West,0
41,M,One year,Credit card,31,61.900000000000006,1935.08,363.2,0,No,North,0
71,F,One year,Electronic check,54,26.12,1631.77,326.8,3,Yes,North,0
59,M,Month-to-month,Mailed check,31,86.84,2814.7,175.0,4,No,North,1
63,M,Month-to-month,Bank transfer,22,53.44,1051.98,355.7,2,No,Central,0
75,M,Month-to-month,Credit card,28,43.56,1155.36,126.0,3,Yes,East,0
76,F,Month-to-month,Electronic check,7,38.3,155.58,337.0,1,No,North,0
34,F,Month-to-month,Bank transfer,63,91.47,5813.49,311.4,1,No,North,0
52,F,One year,Credit card,14,62.540000000000006,709.48,216.9,0,No,North,0
53,M,Month-to-month,Electronic check,17,53.77,896.88,252.2,0,No,Central,0
70,M,Month-to-month,Electronic check,58,134.34,7726.19,135.0,2,Yes,West,0
26,F,Month-to-month,Credit card,49,102.98,4969.4,262.8,1,No,North,0
39,F,Month-to-month,Mailed check,50,69.25999999999999,3357.3,294.7,2,No,West,1
38,M,Month-to-month,Bank transfer,14,85.43,1041.33,179.0,1,No,West,0
84,M,Two year,Credit card,16,61.47,962.18,229.4,0,No,North,0
58,M,One year,Bank transfer,18,73.23,1263.9,376.2,0,No,West,0
24,F,Month-to-month,Bank transfer,65,58.98,3981.4,268.0,0,No,North,0
82,M,Month-to-month,Electronic check,58,94.42,5386.0,210.6,3,No,South,0
38,M,Two year,Credit card,57,8.8,833.29,52.7,1,No,Central,0
45,F,Month-to-month,Electronic check,23,62.08,1409.34,197.6,2,No,North,0
82,M,Month-to-month,Credit card,31,56.07,1689.34,231.9,0,Yes,Central,0
84,M,Month-to-month,Mailed check,20,113.9,2006.57,132.3,2,No,Central,0
38,M,One year,Credit card,49,47.56,2459.84,404.5,0,No,Central,0
20,M,Month-to-month,Bank transfer,13,60.47,591.63,312.5,2,No,West,0
26,M,Month-to-month,Bank transfer,61,24.81,1026.35,225.1,3,No,West,1
47,F,Month-to-month,Bank transfer,54,67.87,3682.7,221.6,0,No,East,0
76,F,Month-to-month,Credit card,13,102.16,1778.07,228.9,4,Yes,East,1
31,F,One year,Electronic check,12,109.17,1837.68,141.0,1,Yes,North,1
65,M,One year,Electronic check,41,56.87,2408.72,248.2,0,Yes,East,0
37,F,One year,Electronic check,71,41.7,3086.1,256.0,1,Yes,East,0
55,F,Month-to-month,Electronic check,74,96.28,7196.98,268.8,1,No,South,0
75,F,One year,Bank transfer,47,55.29,2585.99,278.0,1,No,East,0
27,F,Month-to-month,Electronic check,56,107.76,6054.58,181.5,5,Yes,East,1
70,M,Month-to-month,Credit card,55,89.86,4965.79,247.9,0,No,East,0
76,M,Two year,Bank transfer,62,88.61,5493.14,260.3,0,No,West,0
36,M,Two year,Mailed check,27,79.21,2038.3,426.4,1,No,West,0
25,F,Month-to-month,Electronic check,35,56.86,2017.24,145.9,2,No,South,0
31,M,Month-to-month,Credit card,60,114.12,6813.22,158.1,0,No,East,0
83,F,One year,Electronic check,54,67.5,3799.1,206.4,0,No,South,0
84,F,Month-to-month,Bank transfer,19,62.61,1095.8,255.0,3,Yes,North,0
58,F,One year,Electronic check,9,116.27,1600.23,289.4,1,No,West,1
37,M,One year,Bank transfer,21,46.79,953.0,203.8,0,No,North,0
50,M,Month-to-month,Credit card,29,84.56,2343.77,155.7,1,No,Central,0
43,M,One year,Electronic check,33,55.76,1815.01,463.1,0,No,South,0
75,M,Two year,Credit card,60,72.89,4504.2,178.5,1,No,North,0
68,M,One year,Electronic check,65,84.0,5493.82,348.7,1,No,Central,0
53,M,One year,Bank transfer,38,60.77,2300.83,282.2,0,No,South,0
74,M,One year,Credit card,10,62.73,834.63,359.7,1,No,West,1
50,M,Month-to-month,Electronic check,72,82.9,5987.02,263.3,2,No,East,0
48,F,Two year,Mailed check,11,40.03,370.74,261.5,0,No,East,0
77,F,One year,Electronic check,66,97.61,6543.3,358.2,0,No,South,0
34,M,Two year,Credit card,54,58.74,3281.68,276.0,0,No,East,0
61,M,Month-to-month,Electronic check,45,46.15,2127.22,259.5,0,No,East,0
52,M,Month-to-month,Credit card,32,43.73,1370.71,263.1,2,Yes,West,0
51,M,Two year,Electronic check,7,59.59,224.46,299.4,2,No,South,0
79,F,Month-to-month,Credit card,18,32.45,608.58,166.2,1,No,East,1
36,F,Month-to-month,Electronic check,11,56.59,464.69,275.6,3,No,South,0
39,M,Month-to-month,Electronic check,42,75.08,3075.59,62.6,0,Yes,North,0
84,M,One year,Bank transfer,33,69.73,2250.58,412.6,0,No,North,0
50,F,Month-to-month,Electronic check,16,81.52,1595.7,305.6,2,No,South,1
57,F,One year,Electronic check,70,74.36,5334.3,208.4,1,Yes,West,0
30,F,One year,Bank transfer,36,100.04,3544.45,221.7,0,No,West,0
81,F,Month-to-month,Mailed check,32,43.34,1368.36,302.7,0,No,South,0
56,M,Month-to-month,Mailed check,56,65.46,3813.19,222.0,0,No,Central,0
55,M,Month-to-month,Electronic check,5,85.26,801.69,121.9,2,No,East,1
28,F,Month-to-month,Mailed check,9,79.53,455.7,196.5,0,No,South,0
42,M,Month-to-month,Credit card,70,105.43,7501.01,199.5,0,No,North,0
76,F,Month-to-month,Electronic check,63,50.01,2801.31,343.2,1,No,West,1
36,M,Month-to-month,Electronic check,71,28.39,2325.68,225.1,2,No,Central,0
37,F,One year,Bank transfer,36,52.47,1892.87,211.3,0,Yes,East,0
80,M,One year,Electronic check,16,71.24,1050.85,248.1,1,Yes,South,0
